score	row	col
11	10	10
58	94	97
48	141	146
18	22	22
3352	9998	9574
3000	7858	9532
2533	6731	9056
3420	8649	9639
4232	9996	9890
3023	7632	9981
694	1672	3725
3378	8649	9298
2106	9229	6150
2652	8053	9387
3390	9264	9167
2717	7665	7630
4102	9999	9992
1833	4766	6792
2231	8195	8122
3413	9645	9999
3848	9853	9508
2813	7315	9999
45	122	122
3160	9999	9898
42	91	94
21	39	37
62	153	157
20	31	30
20	19	19
34	94	94
18	28	29
40	123	122
53	129	130
39	99	103
13	12	12
16	51	52
10	9	9
32	42	43
23	28	29
31	49	50
24	34	35
39	49	50
11	10	10
58	80	80
153	297	307
52	75	76
155	316	319
62	153	155
53	71	72
42	51	49
54	111	116
77	105	103
24	29	30
12	16	16
15	38	41
19	18	18
44	92	89
89	129	129
27	49	52
52	99	104
123	214	213
31	71	76
241	631	642
28	51	49
102	285	256
19	18	18
32	72	72
37	115	122
10	9	9
72	132	129
15	26	28
19	18	18
25	51	53
178	330	329
10	9	9
124	323	330
21	28	30
18	23	24
49	122	120
29	34	35
169	693	681
33	86	85
78	260	256
32	63	62
66	226	222
13	12	12
39	129	131
89	155	162
31	52	42
33	45	47
134	384	368
11	10	10
96	490	420
25	24	24
18	23	24
33	49	51
119	454	427
225	669	643
96	264	252
81	525	507
96	264	252
81	525	507
130	366	375
101	202	198
30	144	135
11	10	10
31	107	102
20	115	105
50	73	71
18	24	23
71	801	558
341	961	966
71	801	558
341	961	966
228	799	797
170	478	1412
213	799	797
293	916	1388
110	1764	441
98	172	173
1071	5462	7406
78	172	173
45	260	270
1391	3719	4601
27	31	31
1391	3719	4133
23	179	188
794	5260	4437
33	72	71
1071	4351	4787
26	60	59
1277	4416	3823
52	115	118
24	50	55
11	910	1528
44	54	55
13	12	12
83	240	232
117	469	449
35	74	73
38	49	51
54	152	146
80	1253	951
119	204	213
96	368	375
34	82	82
58	199	187
12	17	18
10	9	9
84	140	140
83	181	186
33	124	120
24	35	37
105	225	234
17	16	16
93	164	164
36	174	164
22	284	255
11	10	10
12	53	59
15	14	14
72	265	277
69	187	172
40	61	63
42	101	97
58	200	201
15	14	14
51	163	163
24	187	148
28	82	82
27	40	38
47	109	112
84	239	230
115	426	425
42	156	148
21	367	299
47	992	832
65	495	501
32	187	185
11	57	60
33	100	103
225	397	409
52	51	51
21	37	39
442	1307	1260
9	13	13
79	156	160
100	323	333
53	91	90
30	50	51
57	178	182
11	10	10
60	211	195
11	10	10
60	211	195
44	117	97
179	1098	1018
14	88	89
72	173	178
122	335	330
12	11	11
21	33	33
85	184	182
174	1223	1147
90	180	187
65	234	219
14	25	21
27	95	98
97	376	344
38	70	71
29	122	102
50	1078	1159
50	2332	4632
28	124	107
41	606	1767
39	91	86
71	216	212
76	533	529
14	55	58
86	533	529
14	61	64
71	533	519
14	55	58
71	533	519
14	55	58
71	533	519
14	55	58
76	533	519
14	55	58
80	157	153
63	130	128
102	1288	1047
76	1203	910
53	92	89
13	12	12
97	299	281
26	106	102
102	207	208
71	158	160
39	118	115
14	53	53
126	190	191
34	137	118
18	28	29
54	135	138
14	19	20
12	11	11
57	212	205
15	14	14
49	230	216
11	10	10
101	204	205
101	224	225
102	209	209
23	22	22
17	23	22
69	115	119
29	73	75
37	81	86
24	23	23
14	27	22
24	23	23
14	27	22
24	23	23
14	27	22
24	23	23
14	27	22
24	23	23
14	27	22
24	23	23
14	27	22
35	67	66
62	173	179
22	21	21
35	72	71
20	90	84
27	31	31
111	306	292
77	104	107
11	10	10
23	27	27
19	37	38
96	204	203
14	13	13
39	56	59
105	461	422
32	59	59
83	123	126
72	234	210
57	159	170
78	212	221
15	14	14
58	197	204
14	13	13
32	46	46
31	79	74
11	10	10
43	60	60
16	15	15
52	170	169
97	239	249
12	11	11
63	133	138
111	201	205
20	24	24
14	13	13
75	175	182
9	8	8
37	140	144
34	52	53
61	150	161
14	13	13
24	29	30
18	51	53
33	59	61
36	53	53
33	46	46
78	124	130
108	331	324
59	215	208
16	15	15
46	68	71
18	30	30
130	945	890
51	255	250
31	89	93
45	76	82
95	239	229
43	98	107
29	63	60
38	86	87
70	152	152
40	76	77
19	30	32
17	16	16
201	1893	620
211	704	725
913	3684	5208
631	3371	6276
283	1304	1440
631	2503	5276
395	2429	2329
518	1726	4271
123	939	990
367	1193	3755
120	2110	783
198	1819	2034
211	3092	673
121	1014	620
198	1680	1813
219	515	539
304	953	1436
624	3683	2746
288	1360	1266
440	853	2637
124	950	822
666	4963	6469
11	10	10
635	5911	3514
826	6126	4561
23	22	22
767	6013	5244
23	22	22
40	123	123
20	25	26
39	119	121
13	22	22
41	148	138
58	192	200
128	979	915
26	52	54
9	8	8
11	15	15
142	392	480
50	122	122
190	444	433
34	62	58
9	8	8
83	155	158
43	72	71
57	111	112
180	753	693
28	121	116
40	222	220
39	50	49
122	320	319
22	85	87
73	339	334
32	63	61
67	166	147
77	301	311
61	141	139
15	14	14
21	88	81
15	14	14
35	115	114
16	175	181
24	35	34
26	100	97
40	200	175
83	310	308
28	64	62
44	90	91
72	337	346
150	407	402
48	68	69
118	294	287
137	630	575
85	629	512
54	114	113
49	109	103
45	127	125
22	43	40
21	42	39
45	126	123
13	12	12
30	41	40
29	40	39
14	13	13
19	52	56
23	95	90
21	107	105
15	90	81
33	47	47
27	26	26
45	143	140
28	107	104
53	144	144
17	22	23
20	36	37
62	103	104
26	25	25
13	12	12
21	20	20
68	130	134
20	56	54
30	61	64
12	11	11
20	79	71
79	203	205
50	108	108
118	462	436
129	335	348
22	33	35
20	60	57
66	226	226
65	288	261
114	295	283
100	262	276
35	110	107
42	215	198
37	41	41
18	17	17
63	305	287
35	82	83
63	305	287
35	82	83
20	37	39
24	103	105
21	44	42
236	1129	1069
26	90	94
20	28	25
19	52	53
39	2577	188
40	75	77
31	230	231
116	2157	2173
29	57	60
28	75	63
114	381	387
27	44	44
72	176	162
116	251	255
10	9	9
315	2382	1122
181	5417	7285
296	8340	7801
298	790	793
115	337	345
120	229	228
58	111	117
148	471	474
22	77	67
13	12	12
15	14	14
25	30	31
19	18	18
77	245	243
167	449	418
57	87	90
34	52	53
31	41	42
137	404	409
10	9	9
37	123	122
20	31	33
37	123	122
20	31	33
91	219	211
24	47	48
828	7938	9991
543	1824	1734
964	5093	9999
1061	8268	9997
1589	5662	8520
1745	5829	8370
1316	8515	9223
559	2959	2509
682	4960	3400
1638	6021	5822
638	3444	3640
638	8129	7804
416	1636	2233
1010	8119	6124
666	4970	9542
795	3207	6484
1367	8249	7945
1284	5979	8182
668	9995	9594
1506	8058	9808
1310	5847	6009
636	5625	9850
481	1824	1735
782	3923	4134
664	3864	8129
1546	9252	7897
1113	5367	9570
704	8281	7275
492	1824	1735
110	376	354
73	257	262
26	148	150
90	702	697
81	146	149
234	529	515
30	147	144
87	126	128
2211	5332	7180
800	2052	2064
2316	6001	7851
1363	3545	3505
2370	5956	7805
1416	3528	3484
2378	5656	7507
1386	3528	3482
2319	5656	7504
1431	3545	3505
2344	7861	6636
103	226	230
82	244	232
2920	8845	7569
2252	8728	7476
837	2144	2158
1085	2530	2493
2883	8098	9876
81	222	225
192	1788	1329
334	1774	1341
203	517	498
28	85	85
136	344	357
92	228	227
19	79	82
37	2636	2245
39	634	558
12	11	11
16	37	39
12	23	22
78	230	243
60	169	175
66	99	98
12	11	11
30	54	53
17	35	32
17	75	74
286	868	885
34	282	282
55	139	137
19	42	38
45	155	152
135	408	407
24	54	56
22	31	31
16	15	15
12	11	11
12	11	11
26	44	42
185	432	437
1640	8093	6696
195	408	399
16	22	24
123	325	312
27	36	36
126	312	306
31	84	87
41	104	107
22	34	34
36	94	97
66	137	137
70	212	197
240	591	592
28	128	121
28	130	134
112	348	360
15	19	19
67	127	121
58	112	112
123	494	503
37	56	56
15	14	14
13	12	12
12	11	11
16	15	15
15	14	14
13	12	12
12	11	11
16	15	15
37	92	95
122	721	696
59	122	122
41	175	170
62	243	234
51	160	158
184	751	739
22	21	21
36	76	77
27	116	114
38	132	123
40	80	81
28	123	116
12	11	11
75	163	155
110	312	321
20	19	19
239	1119	856
22	39	39
23	95	92
71	784	638
39	226	197
39	225	196
71	785	638
39	225	196
71	785	638
39	225	196
71	785	638
64	206	211
31	46	47
22	61	58
53	73	74
19	26	28
21	26	27
79	198	202
94	274	276
427	2107	1097
12	11	11
19	47	48
43	60	60
148	301	311
137	346	315
87	204	200
57	114	113
57	350	367
72	256	246
71	170	163
41	201	183
83	270	263
22	21	21
38	61	65
98	278	278
38	61	65
98	278	278
45	72	73
39	97	98
17	22	23
32	37	38
20	26	25
101	719	667
94	310	304
23	69	68
68	167	170
20	31	30
15	14	14
90	157	155
15	14	14
90	157	155
31	55	53
71	200	199
39	109	97
23	46	49
29	56	56
19	54	54
29	56	56
19	54	54
29	56	56
19	54	54
29	56	56
19	54	54
29	56	56
115	437	420
81	189	185
19	54	54
150	365	347
24	41	41
72	276	267
54	78	77
125	275	262
58	133	130
18	70	67
33	64	65
18	70	67
33	64	65
67	120	122
21	20	20
9	8	8
137	414	388
9	8	8
143	414	387
131	413	387
10	9	9
136	413	387
10	9	9
136	413	387
10	9	9
19	18	18
24	29	30
46	103	102
59	92	93
59	133	134
661	1535	1582
25	48	49
28	122	120
69	288	233
39	140	137
62	141	146
225	689	699
50	88	88
42	102	101
17	51	52
25	75	71
64	359	302
48	116	117
27	32	33
43	85	87
42	85	89
11	10	10
19	24	25
20	19	19
20	19	19
33	32	32
48	110	107
98	223	231
12	11	11
48	177	181
43	57	57
31	36	37
155	641	739
348	1837	1113
238	525	511
11	10	10
43	94	97
46	109	109
91	240	243
32	54	52
24	23	23
54	103	105
53	102	104
25	24	24
24	23	23
49	103	105
24	23	23
54	103	105
24	23	23
54	103	105
53	102	104
25	24	24
43	108	110
15	14	14
43	108	110
15	14	14
31	49	52
169	392	382
168	349	360
51	322	324
54	1062	942
95	1491	1354
103	227	219
76	302	263
25	34	34
71	130	131
57	1670	1514
45	1020	900
862	5142	4798
135	365	351
55	126	127
46	92	93
30	53	54
32	50	48
41	101	97
41	52	51
74	236	239
27	42	43
62	154	158
26	43	43
22	35	33
25	52	52
25	24	24
41	128	127
70	256	268
29	121	112
54	143	144
14	18	18
47	100	101
44	81	83
33	45	45
96	559	550
33	45	45
41	151	150
61	222	223
14	41	44
20	19	19
15	32	35
62	78	77
49	112	117
26	38	40
32	51	51
43	97	95
21	20	20
48	111	109
84	195	195
44	77	74
59	125	119
35	69	68
61	155	161
35	69	68
61	155	161
65	154	155
41	70	69
65	154	155
41	70	69
68	154	161
41	85	84
35	69	68
177	546	553
42	126	126
26	62	59
18	17	17
47	182	190
37	73	71
18	17	17
47	182	190
37	73	71
22	36	37
24	34	35
22	36	37
24	34	35
56	183	174
11	17	16
10	16	15
56	184	175
95	264	263
54	113	111
54	197	196
176	428	428
42	62	63
51	67	69
27	31	31
64	114	120
58	434	401
37	120	115
49	86	89
37	75	72
19	18	18
24	46	41
156	520	533
62	96	91
35	73	74
103	235	226
35	97	100
147	405	415
58	175	176
31	37	36
175	621	600
14	19	20
91	486	429
69	152	147
83	291	284
45	192	191
18	17	17
19	38	36
66	132	130
32	43	42
17	16	16
11	10	10
58	163	166
61	96	99
109	1230	870
23	47	47
65	190	195
152	1385	1036
70	190	194
2404	9997	9623
31	111	116
12	11	11
54	211	211
84	255	252
156	460	488
62	315	302
150	459	487
60	315	302
150	459	487
57	315	302
151	460	488
67	315	302
151	460	488
67	315	302
156	460	488
67	315	302
63	281	320
80	207	214
18	30	30
15	14	14
71	230	236
48	98	98
37	55	53
92	223	230
28	83	81
52	125	130
30	51	53
114	579	539
27	136	135
43	558	524
528	2233	4235
1086	4254	3533
611	3228	3858
533	3294	3283
848	4259	4543
905	4973	7313
999	4109	4049
911	4973	7651
51	187	195
1711	6655	7252
852	4240	6557
696	3597	3572
675	4015	1918
554	3597	6967
13	12	12
31	47	46
66	130	134
122	379	361
143	434	451
88	237	224
20	39	37
18	33	34
14	23	23
21	40	38
17	16	16
16	33	35
412	1055	1073
18	17	17
412	1055	1073
18	17	17
64	6360	4861
115	874	761
73	302	281
108	507	472
88	236	234
27	51	45
80	458	450
17	64	65
70	170	163
1059	6826	5764
191	1573	568
116	308	293
25	149	152
16	22	21
92	529	404
24	23	23
253	1724	1043
99	937	888
79	125	123
120	1696	1005
144	771	704
43	141	136
325	925	962
13	12	12
80	147	147
23	98	93
21	38	30
99	1669	1185
174	2008	1513
97	353	359
20	19	19
21	39	37
164	451	471
185	358	367
127	804	1449
88	897	323
246	880	1029
808	3239	9100
93	268	280
808	2462	5354
214	804	943
74	1181	1416
54	6063	8870
25	1431	840
45	1778	1756
76	691	5870
39	6090	2156
23	615	746
65	874	808
71	914	3446
18	149	167
55	79	81
52	124	113
237	1247	1155
59	139	145
150	323	331
107	1054	929
59	116	121
100	782	708
51	224	225
56	331	322
201	408	425
158	416	407
34	102	104
72	605	611
229	1290	1278
87	1280	184
83	141	141
56	5924	97
106	1268	162
87	551	184
36	8896	46
153	1879	420
86	8513	96
125	3556	198
189	4847	489
72	2397	194
395	9628	843
11	2446	765
50	8479	54
34	791	44
138	1843	341
88	709	348
26	754	25
276	4621	642
63	4901	117
111	4200	255
56	862	118
34	5283	44
43	4097	67
30	6927	39
46	2666	51
257	3556	576
63	6019	117
51	7517	82
18	5128	17
190	2998	425
60	6378	95
12	1500	2995
280	5809	782
123	2027	557
193	3707	366
146	2313	435
88	244	205
144	9511	244
41	87	88
123	1614	504
20	757	24
222	4751	713
19	25	24
79	447	437
88	210	202
94	624	272
124	3210	226
52	3729	249
52	846	953
252	2021	551
74	7611	134
208	7435	477
85	2134	204
151	2110	391
143	4052	319
290	9179	697
85	578	204
30	5484	61
143	2935	319
50	460	101
276	3431	827
66	102	102
84	349	341
61	174	159
220	410	426
11	10	10
251	667	663
53	89	90
176	386	390
11	38	37
27	50	51
38	55	55
111	219	210
96	254	251
42	72	69
21	20	20
48	72	74
39	69	65
71	172	171
68	149	152
111	244	230
105	243	229
108	550	559
39	1330	6984
96	307	314
66	202	190
127	292	292
105	518	461
56	2339	1572
153	2595	1836
52	112	111
16	15	15
79	189	186
39	114	119
24	29	30
66	200	182
38	203	187
63	198	187
82	192	194
34	64	63
39	94	97
18	38	37
35	55	54
15	38	37
35	55	54
38	82	81
61	263	251
128	259	262
16	15	15
69	172	172
77	276	269
21	20	20
105	157	161
35	44	44
24	23	23
23	102	93
25	58	49
25	57	48
61	470	463
25	102	93
1668	4498	4412
1290	4241	6011
23	103	94
167	432	405
286	1465	1459
761	2337	2279
23	103	94
13	12	12
12	11	11
45	176	173
15	21	20
33	60	58
22	26	26
29	71	67
34	66	67
68	422	402
14	13	13
77	291	300
40	71	74
13	24	26
15	14	14
11	10	10
42	328	293
44	75	76
19	23	23
93	268	252
29	66	73
47	1258	1090
206	5473	4559
38	43	44
56	903	757
151	2190	1714
132	1138	1051
59	111	111
13	19	18
53	483	406
70	3841	3421
46	71	72
33	109	113
139	283	294
53	7460	5229
64	922	825
105	3072	2690
200	4080	2437
10	9	9
52	87	82
125	905	4411
83	236	230
93	3484	1904
30	493	807
35	1862	5353
56	2707	1803
36	4258	2833
131	662	653
48	125	119
29	51	951
31	1530	1582
67	130	126
121	288	283
108	791	653
81	628	526
147	472	497
44	116	117
191	329	335
22	40	43
42	87	87
27	55	51
42	87	87
27	55	51
17	46	50
28	64	62
41	62	61
23	34	33
50	156	145
40	837	691
30	35	36
62	214	218
53	383	351
45	143	131
39	145	138
46	67	69
39	145	138
46	67	69
44	135	108
33	39	38
44	135	108
33	39	38
105	492	488
13	12	12
88	216	220
12	11	11
61	108	109
19	18	18
102	670	611
40	89	92
42	63	68
22	79	81
9	8	8
14	13	13
57	116	116
18	36	34
59	134	135
28	51	47
65	221	220
33	44	46
149	1178	1141
41	175	173
40	174	172
159	1179	1147
21	39	42
35	73	72
34	72	71
22	40	43
9	8	8
24	125	85
33	57	56
18	17	17
37	77	81
36	57	59
54	102	94
76	285	299
19	35	34
35	82	81
33	128	123
26	30	30
52	151	157
56	280	255
23	27	27
305	1015	1029
47	273	269
105	336	337
21	51	51
12	17	15
10	9	9
15	52	54
137	539	554
53	95	100
165	664	653
37	55	58
158	664	659
19	25	24
23	1111	9455
37	55	58
31	30	30
136	331	341
52	115	123
122	339	316
1211	7325	8318
849	2843	4534
788	2875	4198
793	2000	3035
77	316	653
1229	6493	4405
486	1497	1139
760	3007	6715
1789	8610	7212
1235	9845	6395
549	2458	2780
1347	3956	3957
506	1396	3422
1396	6127	5072
1520	4863	8575
97	442	780
1167	5353	4652
1543	6481	8806
523	2878	3568
38	72	76
28	69	62
76	198	195
50	223	211
40	104	100
34	65	65
116	793	683
119	310	300
12	17	18
23	162	155
20	19	19
68	112	113
18	34	37
133	990	906
32	76	73
63	179	183
10	9	9
44	61	61
119	241	248
129	293	253
196	766	789
21	57	58
67	185	187
214	448	460
22	69	68
34	45	47
14	19	20
48	81	82
168	503	487
53	175	172
106	617	535
104	291	289
71	125	127
11	10	10
11	10	10
24	30	29
78	241	247
16	15	15
92	210	193
21	36	35
24	32	30
113	530	506
55	157	154
232	848	845
25	36	38
24	33	31
16	28	28
78	212	220
31	49	47
126	292	297
12	20	23
37	54	57
24	39	40
91	254	257
84	147	148
91	254	257
79	147	148
83	146	147
97	255	258
115	294	269
48	175	181
115	294	269
48	175	181
115	294	269
48	175	181
29	117	112
17	22	23
79	203	209
18	24	23
60	679	600
124	792	732
172	360	354
176	1974	1416
176	623	599
74	331	339
47	148	144
16	28	28
66	124	124
38	85	84
66	124	124
38	85	84
30	73	76
51	102	105
30	73	76
51	102	105
84	396	410
33	77	81
41	72	75
128	583	523
44	73	72
119	262	268
44	73	72
119	262	268
81	269	275
48	69	66
81	269	275
48	69	66
78	267	271
48	69	66
78	267	271
48	69	66
48	189	199
48	69	66
45	113	109
27	31	31
45	113	109
27	31	31
16	20	20
46	103	105
76	151	150
28	74	75
66	128	131
52	175	165
29	84	85
64	216	219
21	20	20
14	13	13
175	424	410
126	263	268
37	65	67
42	122	127
50	114	113
11	10	10
29	63	61
29	126	125
65	354	256
65	119	119
65	354	256
65	119	119
39	193	185
47	183	190
16	25	23
32	43	42
30	42	42
31	93	95
83	163	166
54	105	101
105	231	221
51	111	112
118	234	234
109	536	487
62	281	270
158	327	316
53	94	93
27	78	80
45	124	134
12	11	11
15	14	14
20	19	19
97	387	348
21	20	20
88	1797	1384
47	219	191
32	147	131
14	13	13
28	43	44
39	49	50
13	12	12
